YahooSymbol,Code,Company,Sector,is_reit
BPG.AX,BPG,BLACK PEARL GROUP LIMITED,Software & Services,False
BKT.AX,BKT,BLACK ROCK MINING LIMITED,Materials,False
BSX.AX,BSX,BLACKSTONE MINERALS LIMITED,Materials,False
BWF.AX,BWF,BLACKWALL LIMITED,Financial Services,False
BLZ.AX,BLZ,BLAZE MINERALS LIMITED,Energy,False
BB1.AX,BB1,BLINKLAB LIMITED,Health Care Equipment & Services,False
XYZ.AX,XYZ,"BLOCK, INC.",Financial Services,False
BLU.AX,BLU,BLUE ENERGY LIMITED.,Energy,False
BNL.AX,BNL,BLUE STAR HELIUM LIMITED,Energy,False
BSL.AX,BSL,BLUESCOPE STEEL LIMITED,Materials,False
BLG.AX,BLG,BLUGLASS LIMITED,Semiconductors & Semiconductor Equipment,False
BMC.AX,BMC,BMC MINERALS LTD.,Materials,False
BMG.AX,BMG,BMG RESOURCES LIMITED,Materials,False
BBC.AX,BBC,BNK BANKING CORPORATION LIMITED,Banks,False
BOA.AX,BOA,BOA RESOURCES LTD,Materials,False
BML.AX,BML,BOAB METALS LIMITED,Materials,False
BOL.AX,BOL,BOOM LOGISTICS LIMITED,Capital Goods,False
BOE.AX,BOE,BOSS ENERGY LTD,Energy,False
BTE.AX,BTE,BOTALA ENERGY LTD,Energy,False
BOT.AX,BOT,BOTANIX PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
BOC.AX,BOC,BOUGAINVILLE COPPER LIMITED,Materials,False
BUY.AX,BUY,BOUNTY OIL & GAS NL,Energy,False
BCB.AX,BCB,BOWEN COKING COAL LIMITED,Materials,False
BPH.AX,BPH,BPH ENERGY LTD,Financial Services,False
BP8.AX,BP8,BPH GLOBAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences",False
BPM.AX,BPM,BPM MINERALS LIMITED,Materials,False
BRN.AX,BRN,BRAINCHIP HOLDINGS LTD,Software & Services,False
BXB.AX,BXB,BRAMBLES LIMITED,Commercial & Professional Services,False
BVS.AX,BVS,BRAVURA SOLUTIONS LIMITED.,Software & Services,False
BCM.AX,BCM,BRAZILIAN CRITICAL MINERALS LIMITED,Materials,False
BRE.AX,BRE,BRAZILIAN RARE EARTHS LIMITED,Materials,False
BTM.AX,BTM,BREAKTHROUGH MINERALS LIMITED,Energy,False
BRG.AX,BRG,BREVILLE GROUP LIMITED,Consumer Durables & Apparel,False
BGE.AX,BGE,BRIDGE SAAS LIMITED,Software & Services,False
BTR.AX,BTR,BRIGHTSTAR RESOURCES LIMITED,Materials,False
BBL.AX,BBL,BRISBANE BRONCOS LIMITED,Media & Entertainment,False
BGP.AX,BGP,BRISCOE GROUP AUSTRALASIA LIMITED,Consumer Discretionary Distribution & Retail,False
BCK.AX,BCK,BROCKMAN MINING LIMITED,Materials,False
BHM.AX,BHM,BROKEN HILL MINES LIMITED,Materials,False
BRK.AX,BRK,BROOKSIDE ENERGY LIMITED,Energy,False
BSA.AX,BSA,BSA LIMITED,Commercial & Professional Services,False
BFL.AX,BFL,BSP FINANCIAL GROUP LIMITED,Banks,False
BUS.AX,BUS,BUBALUS RESOURCES LIMITED,Materials,False
BUB.AX,BUB,BUBS AUSTRALIA LIMITED,"Food, Beverage & Tobacco",False
BNR.AX,BNR,BULLETIN RESOURCES LIMITED,Materials,False
BDM.AX,BDM,BURGUNDY DIAMOND MINES LIMITED,Materials,False
BUR.AX,BUR,BURLEY MINERALS LTD,Materials,False
BRU.AX,BRU,BURU ENERGY LIMITED,Energy,False
BTN.AX,BTN,BUTN LIMITED,Financial Services,False
BUX.AX,BUX,BUXTON RESOURCES LIMITED,Materials,False
C29.AX,C29,C29 METALS LIMITED,Materials,False
CCM.AX,CCM,CADOUX LIMITED,Materials,False
CXL.AX,CXL,CALIX LIMITED,Materials,False
CMB.AX,CMB,CAMBIUM BIO LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",False
CHL.AX,CHL,CAMPLIFY HOLDINGS LIMITED,Transportation,False
